Latitude,Longitude,HS,UCL,LCL,Altitud_90m,Altitud_150m,Altitud_300m,Band_9_300m,Band_10_300m,Band_11_150m,Band_11_300m,Costo_mov_300m,Dist_Bosque_90m,Dist_Bosque_150m,Dist_Bosque_300m,Dist_corredor_90m,Dist_Corredor_150m,Dist_Corredor_300m,NBRI_300m,Resistencia_150m,Resistencia_300m,Label
6.0222916,-75.41102765,4.163933,9.028341,-6.537764,2141.821429,2143.139241,2143.864353,0.001963749,293.8723503,290.9985784,291.1286709,5,1984.459494,1983.466962,1986.831804,4994.483834,4992.013569,4991.947139,0.143398162,146.5720534,141.161704,0
6.02222324,-75.41094342,4.980203,8.855848,-6.646731,2142.964286,2143.696203,2144.293375,0.00196119,293.823138,290.9680419,291.0892302,5,1967.362126,1970.160326,1973.890495,5003.552333,4996.496538,4998.481077,0.138352989,146.6433921,141.1118209,0
6.022176854,-75.41085187,4.857987,8.721197,-6.731643,2143.689655,2143.814815,2144.721003,0.001962756,293.7857265,291.0189179,291.059609,5,1962.773206,1961.772559,1965.270332,5000.449306,5003.752785,5007.923217,0.133326423,146.6575741,141.3318939,0
6.022164647,-75.41074445,4.791575,8.647974,-6.777621,2144,2144.17284,2144.93125,0.001962068,293.7845188,291.08993,291.060948,5,1948.866996,1952.02901,1953.381052,5004.198875,5005.907213,5009.566906,0.12870579,147.0163116,141.0305221,0
6.02215366,-75.41063703,4.744907,8.594731,-6.804563,2144.518519,2144.873418,2145.339683,0.001957444,293.7803378,291.1584364,291.0590504,5,1945.851018,1944.210644,1944.718832,5004.686105,5010.899408,5010.232568,0.125253088,146.4442376,141.5986939,0
6.022142674,-75.41052961,4.708491,8.552157,-6.822507,2145.1875,2145.139241,2145.621875,0.001962149,293.7795891,291.1968422,291.0622179,5,1928.902444,1932.235877,1937.08516,5008.3282,5012.201908,5012.769181,0.122610867,145.9732605,141.5919542,0
6.022130467,-75.4104234,4.663396,8.501583,-6.851163,2145.428571,2145.8125,2145.886792,0.001961874,293.7523703,291.2518364,291.040541,5,1927.484379,1924.762983,1924.290258,5012.598351,5012.813457,5013.03278,0.118055899,145.9996409,141.5006072,0
6.022120701,-75.41031598,4.628133,8.460955,-6.870334,2145.892857,2146.37037,2146.27673,0.001962264,293.7567996,291.2602046,291.0476238,5,1913.63023,1914.641717,1919.975852,5012.598351,5013.148489,5014.975684,0.11466878,144.7415932,141.5000471,0
6.022108494,-75.41020978,4.573951,8.401524,-6.908771,2146.433333,2146.5625,2146.647975,0.001967704,293.7088794,291.3061237,291.0095562,5,1907.703565,1903.213576,1909.15219,5016.067676,5013.616664,5015.334997,0.11245419,145.462053,141.3602688,0
6.022097508,-75.41010236,4.51048,8.33292,-6.956841,2146.962963,2147.126582,2146.84858,0.001971914,293.7057776,291.3680296,291.0099635,5,1898.545742,1893.198454,1898.617829,5014.107215,5014.454715,5016.939763,0.111441444,145.5376065,141.3933747,0
