Latitude,Longitude,HS,UCL,LCL_,Altitud_90m,Altitud_150m,Altitud_300m,band_9_300m,band_10_300m,band_11_150m,band_11_300m,Costo de Movimiento_300m,Distancia a Bosque_90m,Distancia a Bosque_150m,Distancia a Bosque_300m,Distancia a corredor biologico_90m,Distancia a corredor biologico_150m,Distancia a corredor biologico_300m,NBRI_300m,Resistencia_150m,Resistencia_300m,Label
6.097590165,-75.34121034,-6.138855,6.371184,"  -7.032429",2159.899902,2155.653333,2155.887043,0.001501715,293.9218257,291.14757,290.9649513,0,3308.255615,3308.187905,3280.442598,609.2107544,610.3751819,608.6833937,0.09187781,155.3581798,147.7673479,0
6.09766829,-75.3413373,-6.268411,6.161866,"  -7.156288",2159.866943,2156.618421,2155.979798,0.001503016,293.8985395,291.1130711,290.942516,0,3323.892822,3321.176487,3291.666451,612.9482422,614.617101,611.9746993,0.094952936,154.763804,147.4923443,0
6.097746415,-75.34146425,-6.432462,6.803056,"  -6.432462",2159.768311,2157.426667,2155.765886,0.001500872,293.8499357,291.02193,290.8925787,0,3339.587646,3335.368115,3307.691226,616.9022217,617.0767546,617.8015254,0.101021156,155.2307549,147.8434136,0
6.09782454,-75.34159242,-6.614401,6.544221,"  -6.614401",2160.330566,2158.173333,2155.789298,0.001494766,293.8494772,290.9441509,290.8908963,0,3355.404785,3348.985426,3320.689581,620.7803345,618.8048275,620.5555684,0.102445976,154.6403696,147.5766599,0
6.097902665,-75.3417206,-6.725626,6.35925,"  -6.725626",2161.737305,2158.947368,2155.819398,0.001498109,293.8175555,290.9288997,290.8559502,0,3371.210693,3365.145193,3335.07945,624.7206421,626.1113,624.8069529,0.105604743,153.2957936,147.9455512,0
6.09798201,-75.34184755,-6.844931,6.168246,"  -6.844931",2164.217529,2159.666667,2155.611296,0.001500035,293.7797982,290.8460599,290.8225017,0,3386.928955,3378.505247,3347.186977,628.5658569,630.4070037,629.0736992,0.10967083,153.3796014,147.6853821,0
6.098060135,-75.34197572,-6.925598,6.027516,"  -6.925598",2166.720947,2160.507246,2155.610169,0.001449647,293.7662017,290.7786926,290.8150788,0,3402.782959,3393.574552,3361.861811,632.3487549,630.3967035,631.7691924,0.113698213,153.1138548,147.8164591,0
6.098139481,-75.3421039,-4.332872,6.024592,"  -6.059116",2167.051514,2160.306667,2155.345515,0.001389726,293.7484863,290.7282116,290.8037636,0,3418.652588,3408.103047,3375.264631,636.2210083,638.6893347,635.974603,0.120651521,153.1570288,147.5823153,0
6.098151688,-75.34225038,-4.350754,6.008184,"  -6.077244",2166.495605,2160.413333,2155.31,0.001385542,293.7217337,290.7168228,290.7800666,0,3434.71875,3419.400641,3382.847441,646.6738892,647.545413,645.2686081,0.120980427,151.921015,148.0410043,0
6.098154129,-75.34240053,-4.317723,6.044812,"  -6.908357",2165.099609,2159.68,2155.142384,0.001333169,293.7147064,290.711436,290.7784131,0,3450.913086,3428.432386,3395.510321,658.1418457,660.4035436,655.7505109,0.126319744,154.1815216,147.8294857,0
6.098156571,-75.34255067,-4.285292,6.08235,"  -6.877202",2163.286377,2159.337662,2155.053872,0.001327866,293.6542373,290.7149982,290.7212167,0,3466.544678,3438.557074,3403.783236,669.7783203,669.2704267,670.6625788,0.130246443,152.0463747,148.1783152,0
6.098159012,-75.34270082,-4.288035,6.086243,"  -6.881605",2160.704834,2158.581081,2154.73,0.001323002,293.6361974,290.738216,290.706104,0,3480.931396,3447.41012,3411.908721,681.3919678,682.5421859,678.8634498,0.131830137,153.2385211,148.3068604,0
6.098161454,-75.34285097,-4.230855,6.151612,"  -5.961266",2157.160156,2157.973333,2154.496644,0.001320654,293.5422668,290.7464038,290.6212193,0,3488.900879,3457.927526,3419.185064,692.8569336,691.2777373,692.2991333,0.136543772,151.1032414,148.0400577,0
6.098165116,-75.34300111,-4.226174,7.032076,"  -6.824232",2152.630859,2156.618421,2154.208754,0.001317806,293.5177936,290.7519182,290.605816,0,3494.695313,3464.834413,3425.160934,704.2769165,704.3724712,701.7766401,0.138399139,152.4229348,148.5752776,0
6.098167557,-75.34315126,-4.196118,7.074447,"  -6.797018",2149.509521,2155.546667,2153.933555,0.00131584,293.4648697,290.7661278,290.555759,0,3494.965332,3472.452788,3431.971501,715.9221802,715.5897875,714.9593532,0.142155603,152.3878174,148.3430976,0
6.098171219,-75.34330141,-4.192682,7.091969,"  -6.796832",2147.182617,2154.04,2153.674419,0.001306772,293.4512767,290.7733033,290.5428797,0,3495.370361,3476.101683,3437.350738,727.3897705,727.7321859,726.0782591,0.142641453,153.5597255,148.3933902,0
6.098173661,-75.34345155,-4.129045,7.171499,"  -8.475407",2147.43457,2152.909091,2153.440397,0.001308175,293.4084065,290.763858,290.5041682,0,3495.640381,3482.611442,3443.152349,738.8455811,739.0165503,739.0305577,0.144746837,152.6335279,148.344177,0
6.098176102,-75.34360048,-4.161645,7.156637,"  -8.514831",2148.368896,2151.706667,2153.106312,0.00130008,293.380185,290.5954674,290.4800803,0,3495.910156,3486.447611,3444.380023,750.3219604,750.5851773,750.185109,0.144884503,155.2546504,148.04226,0
6.098202958,-75.34374696,-4.098869,6.366328,"  -8.459367",2151.375,2150.592105,2152.76,0.001297725,293.3467565,290.5117287,290.4524039,0,3498.880127,3493.423628,3450.431443,759.7940063,759.24445,759.7991957,0.145933862,154.5165885,148.4401536,0
6.098249344,-75.34388979,-3.180074,6.430039,"  -7.548307",2153.507813,2149.526316,2152.295681,0.001296226,293.3067187,290.3942413,290.4139373,0,3504.009766,3496.892607,3453.356875,767.2885742,769.0445268,767.3296924,0.146657955,155.7656465,148.4438914,0
6.098298172,-75.34403261,-3.028591,6.599878,"  -7.405168",2152.37085,2148.853333,2151.89,0.001300861,293.2791952,290.331522,290.3837701,0,3509.409424,3505.000786,3457.015678,774.5529175,775.0307659,777.2261099,0.150835132,156.5898124,148.2581779,0
6.098344559,-75.34417421,-3.008485,6.639717,"  -7.394031",2151.905273,2148,2151.395904,0.001296116,293.2448776,290.163237,290.3462133,0,3514.539307,3510.587348,3462.687743,782.0490112,782.47445,780.7244991,0.151873142,156.0212382,148.2288741,0
